,dep,lemma,tag
166,['  head_token_index: 20'],"['lemma: ""nacionalidad""']",['  tag: NOUN']
167,['  head_token_index: 18'],"['lemma: ""?""']",['  tag: PUNCT']
168,['  head_token_index: 25'],"['lemma: ""No""']",['  tag: ADV']
169,['  head_token_index: 25'],"['lemma: ""haber""']",['  tag: VERB']
170,['  head_token_index: 27'],"['lemma: ""ecuatoriano""']",['  tag: ADJ']
171,['  head_token_index: 25'],"['lemma: ""delincuente""']",['  tag: NOUN']
172,['  head_token_index: 25'],"['lemma: ""?""']",['  tag: PUNCT']
173,['  head_token_index: 30'],"['lemma: ""El""']",['  tag: DET']
174,['  head_token_index: 34'],"['lemma: ""feminicidio""']",['  tag: NOUN']
175,['  head_token_index: 34'],"['lemma: ""sólo""']",['  tag: ADV']
176,['  head_token_index: 34'],"['lemma: ""el""']",['  tag: PRON']
177,['  head_token_index: 34'],"['lemma: ""haber""']",['  tag: VERB']
178,['  head_token_index: 34'],"['lemma: ""cometer""']",['  tag: VERB']
179,['  head_token_index: 34'],"['lemma: ""venezolano""']",['  tag: NOUN']
180,['  head_token_index: 34'],"['lemma: ""?""']",['  tag: PUNCT']
181,['  head_token_index: 38'],"['lemma: ""#""']",['  tag: NOUN']
182,['  head_token_index: 38'],"['lemma: ""concluxenofobia""']",['  tag: VERB']
183,[],"['lemma: ""QT""']",['  tag: NOUN']
184,[],"['lemma: ""@""']",['  tag: X']
185,[],"['lemma: ""CesarRey1""']",['  tag: NOUN']
186,[],"['lemma: "":""']",['  tag: PUNCT']
187,[],"['lemma: ""RT""']",['  tag: NOUN']
188,['  head_token_index: 4'],"['lemma: ""@""']",['  tag: X']
189,['  head_token_index: 4'],"['lemma: ""Gamisox""']",['  tag: NOUN']
190,['  head_token_index: 4'],"['lemma: "":""']",['  tag: PUNCT']
191,['  head_token_index: 4'],"['lemma: ""Ser""']",['  tag: VERB']
192,['  head_token_index: 8'],"['lemma: ""Venezolano""']",['  tag: ADJ']
193,['  head_token_index: 8'],"['lemma: ""y""']",['  tag: CONJ']
194,['  head_token_index: 8'],"['lemma: ""pedir""']",['  tag: VERB']
195,['  head_token_index: 8'],"['lemma: "",""']",['  tag: PUNCT']
196,['  head_token_index: 8'],"['lemma: ""exijo""']",['  tag: VERB']
197,['  head_token_index: 13'],"['lemma: ""aparecer""']",['  tag: VERB']
198,['  head_token_index: 16'],"['lemma: ""este""']",['  tag: DET']
199,['  head_token_index: 14'],"['lemma: ""hijo""']",['  tag: NOUN']
200,['  head_token_index: 16'],"['lemma: ""de""']",['  tag: ADP']
201,['  head_token_index: 17'],"['lemma: ""puta""']",['  tag: NOUN']
202,['  head_token_index: 21'],"['lemma: "",""']",['  tag: PUNCT']
203,['  head_token_index: 21'],"['lemma: ""maldito""']",['  tag: ADJ']
204,['  head_token_index: 16'],"['lemma: ""animal""']",['  tag: NOUN']
205,['  head_token_index: 21'],"['lemma: ""y""']",['  tag: CONJ']
206,['  head_token_index: 21'],"['lemma: ""pagar""']",['  tag: VERB']
207,['  head_token_index: 23'],"['lemma: ""con""']",['  tag: ADP']
208,['  head_token_index: 24'],"['lemma: ""cárcel""']",['  tag: NOUN']
209,['  head_token_index: 27'],"['lemma: ""el""']",['  tag: DET']
210,['  head_token_index: 23'],"['lemma: ""delito""']",['  tag: NOUN']
211,['  head_token_index: 29'],"['lemma: ""que""']",['  tag: PRON']
212,['  head_token_index: 27'],"['lemma: ""cometer""']",['  tag: VERB']
213,[],"['lemma: "".""']",['  tag: PUNCT']
214,['  head_token_index: 33'],"['lemma: ""No""']",['  tag: ADV']
215,['  head_token_index: 33'],"['lemma: ""el""']",['  tag: PRON']
216,['  head_token_index: 33'],"['lemma: ""dejar""']",['  tag: VERB']
217,['  head_token_index: 33'],"['lemma: ""…""']",['  tag: PUNCT']
218,['  head_token_index: 37'],"['lemma: "";""']",['  tag: PUNCT']
