,dep,lemma,tag
135,['  head_token_index: 9'],"['lemma: "",""']",['  tag: PUNCT']
136,['  head_token_index: 9'],"['lemma: ""un""']",['  tag: DET']
137,['  head_token_index: 2'],"['lemma: ""luz""']",['  tag: NOUN']
138,['  head_token_index: 9'],"['lemma: ""para""']",['  tag: ADP']
139,['  head_token_index: 12'],"['lemma: ""el""']",['  tag: DET']
140,['  head_token_index: 10'],"['lemma: ""migrante""']",['  tag: NOUN']
141,['  head_token_index: 14'],"['lemma: ""(""']",['  tag: PUNCT']
142,['  head_token_index: 12'],"['lemma: ""Venezolano""']",['  tag: ADJ']
143,['  head_token_index: 14'],"['lemma: ""en""']",['  tag: ADP']
144,['  head_token_index: 2'],"['lemma: ""...""']",['  tag: PUNCT']
145,['  head_token_index: 1'],"['lemma: ""Cuatro""']",['  tag: NUM']
146,['  head_token_index: 1'],"['lemma: ""detener""']",['  tag: VERB']
147,['  head_token_index: 1'],"['lemma: ""en""']",['  tag: ADP']
148,['  head_token_index: 2'],"['lemma: ""España""']",['  tag: NOUN']
149,['  head_token_index: 1'],"['lemma: ""por""']",['  tag: ADP']
150,['  head_token_index: 4'],"['lemma: ""explotar""']",['  tag: VERB']
151,['  head_token_index: 5'],"['lemma: ""sexualmente""']",['  tag: ADV']
152,['  head_token_index: 5'],"['lemma: ""a""']",['  tag: ADP']
153,['  head_token_index: 7'],"['lemma: ""mujer""']",['  tag: NOUN']
154,['  head_token_index: 1'],"['lemma: ""...""']",['  tag: PUNCT']
155,['  head_token_index: 7'],"['lemma: ""Por""']",['  tag: ADP']
156,['  head_token_index: 2'],"['lemma: ""falso""']",['  tag: ADJ']
157,[],"['lemma: ""promesa""']",['  tag: NOUN']
158,['  head_token_index: 2'],"['lemma: ""de""']",['  tag: ADP']
159,['  head_token_index: 3'],"['lemma: ""trabajo""']",['  tag: NOUN']
160,['  head_token_index: 6'],"['lemma: "",""']",['  tag: PUNCT']
161,['  head_token_index: 2'],"['lemma: ""venezolano""']",['  tag: ADJ']
162,['  head_token_index: 7'],"['lemma: ""terminar""']",['  tag: VERB']
163,['  head_token_index: 7'],"['lemma: ""...""']",['  tag: PUNCT']
164,['  head_token_index: 1'],"['lemma: ""Cuatro""']",['  tag: NUM']
165,['  head_token_index: 1'],"['lemma: ""detener""']",['  tag: VERB']
166,['  head_token_index: 1'],"['lemma: ""en""']",['  tag: ADP']
167,['  head_token_index: 2'],"['lemma: ""España""']",['  tag: NOUN']
168,['  head_token_index: 1'],"['lemma: ""por""']",['  tag: ADP']
169,['  head_token_index: 4'],"['lemma: ""prostituir""']",['  tag: VERB']
170,['  head_token_index: 5'],"['lemma: ""a""']",['  tag: ADP']
171,['  head_token_index: 6'],"['lemma: ""venezolano""']",['  tag: NOUN']
172,['  head_token_index: 7'],"['lemma: ""y""']",['  tag: CONJ']
173,['  head_token_index: 7'],"['lemma: ""colombiano""']",['  tag: ADJ']
174,['  head_token_index: 2'],"['lemma: ""Autoridad""']",['  tag: NOUN']
175,[],"['lemma: ""venezolano""']",['  tag: ADJ']
176,['  head_token_index: 2'],"['lemma: ""instalar""']",['  tag: VERB']
177,['  head_token_index: 5'],"['lemma: ""un""']",['  tag: DET']
178,['  head_token_index: 5'],"['lemma: ""nuevo""']",['  tag: ADJ']
179,['  head_token_index: 2'],"['lemma: ""contenedor""']",['  tag: NOUN']
180,['  head_token_index: 2'],"['lemma: ""en""']",['  tag: ADP']
181,['  head_token_index: 6'],"['lemma: ""puente""']",['  tag: NOUN']
182,['  head_token_index: 2'],"['lemma: ""...""']",['  tag: PUNCT']
183,['  head_token_index: 2'],"['lemma: ""¡""']",['  tag: PUNCT']
184,['  head_token_index: 2'],"['lemma: ""Así""']",['  tag: ADV']
185,['  head_token_index: 2'],"['lemma: ""lavar""']",['  tag: VERB']
186,['  head_token_index: 4'],"['lemma: ""el""']",['  tag: DET']
187,['  head_token_index: 2'],"['lemma: ""plato""']",['  tag: NOUN']
188,['  head_token_index: 2'],"['lemma: ""en""']",['  tag: ADP']
189,['  head_token_index: 5'],"['lemma: ""Venezuela""']",['  tag: NOUN']
190,['  head_token_index: 2'],"['lemma: ""!""']",['  tag: PUNCT']
191,['  head_token_index: 1'],"['lemma: ""\\\'""']",['  tag: PUNCT']
192,['  head_token_index: 1'],"['lemma: ""Dije""']",['  tag: VERB']
193,['  head_token_index: 3'],"['lemma: ""el""']",['  tag: DET']
194,['  head_token_index: 1'],"['lemma: ""verdad""']",['  tag: NOUN']
195,['  head_token_index: 1'],"['lemma: "",""']",['  tag: PUNCT']
196,['  head_token_index: 1'],"['lemma: ""ser""']",['  tag: VERB']
197,['  head_token_index: 7'],"['lemma: ""un""']",['  tag: DET']
198,['  head_token_index: 5'],"['lemma: ""fábrica""']",['  tag: NOUN']
199,['  head_token_index: 7'],"['lemma: ""de""']",['  tag: ADP']
200,['  head_token_index: 8'],"['lemma: ""niño""']",['  tag: NOUN']
201,['  head_token_index: 9'],"['lemma: ""pobre""']",['  tag: ADJ']
202,['  head_token_index: 7'],"['lemma: ""\\\'""']",['  tag: PUNCT']
203,['  head_token_index: 7'],"['lemma: "":""']",['  tag: PUNCT']
204,['  head_token_index: 7'],"['lemma: ""Rodolfo""']",['  tag: NOUN']
205,['  head_token_index: 13'],"['lemma: ""Hernández""']",['  tag: NOUN']
206,[],"['lemma: ""Muerte""']",['  tag: NOUN']
207,[],"['lemma: ""lento""']",['  tag: ADJ']
208,[],"['lemma: ""en""']",['  tag: ADP']
209,['  head_token_index: 2'],"['lemma: ""Venezuela""']",['  tag: NOUN']
210,[],"['lemma: "",""']",['  tag: PUNCT']
211,['  head_token_index: 6'],"['lemma: ""el""']",['  tag: DET']
212,[],"['lemma: ""vida""']",['  tag: NOUN']
213,['  head_token_index: 6'],"['lemma: ""después""']",['  tag: ADV']
214,['  head_token_index: 7'],"['lemma: ""de""']",['  tag: ADP']
215,['  head_token_index: 8'],"['lemma: ""apagón""']",['  tag: NOUN']
216,['  head_token_index: 2'],"['lemma: ""Por""']",['  tag: ADP']
217,[],"['lemma: ""trocha""']",['  tag: NOUN']
218,['  head_token_index: 2'],"['lemma: ""repatr""']",['  tag: VERB']
219,['  head_token_index: 2'],"['lemma: ""cuerpo""']",['  tag: NOUN']
220,['  head_token_index: 3'],"['lemma: ""de""']",['  tag: ADP']
221,['  head_token_index: 4'],"['lemma: ""persona""']",['  tag: NOUN']
222,['  head_token_index: 5'],"['lemma: ""fallecer""']",['  tag: VERB']
223,['  head_token_index: 6'],"['lemma: ""en""']",['  tag: ADP']
224,['  head_token_index: 7'],"['lemma: ""Venezuela""']",['  tag: NOUN']
225,['  head_token_index: 7'],"['lemma: ""Barco""']",['  tag: NOUN']
226,[],"['lemma: ""de""']",['  tag: ADP']
227,['  head_token_index: 1'],"['lemma: ""Puerto""']",['  tag: NOUN']
228,['  head_token_index: 2'],"['lemma: ""Rico""']",['  tag: NOUN']
229,[],"['lemma: ""hacia""']",['  tag: ADP']
230,['  head_token_index: 4'],"['lemma: ""Venezuela""']",['  tag: NOUN']
231,['  head_token_index: 7'],"['lemma: ""“""']",['  tag: PUNCT']
232,['  head_token_index: 7'],"['lemma: ""recibir""']",['  tag: VERB']
233,['  head_token_index: 7'],"['lemma: ""amenaza""']",['  tag: NOUN']
234,['  head_token_index: 8'],"['lemma: ""directo""']",['  tag: ADJ']
235,['  head_token_index: 8'],"['lemma: ""de""']",['  tag: ADP']
236,['  head_token_index: 10'],"['lemma: ""...""']",['  tag: PUNCT']
237,['  head_token_index: 1'],"['lemma: ""EEUU""']",['  tag: NOUN']
238,['  head_token_index: 1'],"['lemma: ""revocar""']",['  tag: VERB']
239,['  head_token_index: 1'],"['lemma: ""visas""']",['  tag: NOUN']
240,['  head_token_index: 2'],"['lemma: ""de""']",['  tag: ADP']
241,['  head_token_index: 6'],"['lemma: ""otros""']",['  tag: DET']
242,['  head_token_index: 6'],"['lemma: ""340""']",['  tag: NUM']
243,['  head_token_index: 3'],"['lemma: ""allegados""']",['  tag: NOUN']
244,['  head_token_index: 1'],"['lemma: ""a""']",['  tag: ADP']
245,['  head_token_index: 7'],"['lemma: ""Maduro""']",['  tag: NOUN']
246,[],"['lemma: ""Quemar""']",['  tag: VERB']
247,['  head_token_index: 2'],"['lemma: ""dos""']",['  tag: NUM']
248,[],"['lemma: ""camión""']",['  tag: NOUN']
249,[],"['lemma: ""con""']",['  tag: ADP']
250,['  head_token_index: 3'],"['lemma: ""ayuda""']",['  tag: NOUN']
251,['  head_token_index: 4'],"['lemma: ""humanitario""']",['  tag: ADJ']
252,['  head_token_index: 7'],"['lemma: ""que""']",['  tag: PRON']
253,['  head_token_index: 4'],"['lemma: ""pasar""']",['  tag: VERB']
254,['  head_token_index: 7'],"['lemma: ""frontera""']",['  tag: NOUN']
255,[],"['lemma: ""...""']",['  tag: PUNCT']
256,[],"['lemma: ""Morir""']",['  tag: VERB']
257,[],"['lemma: ""otro""']",['  tag: DET']
258,['  head_token_index: 1'],"['lemma: ""venezolano""']",['  tag: ADJ']
259,['  head_token_index: 1'],"['lemma: ""de""']",['  tag: ADP']
260,['  head_token_index: 3'],"['lemma: ""accidente""']",['  tag: NOUN']
261,[],"['lemma: ""en""']",['  tag: ADP']
262,['  head_token_index: 7'],"['lemma: ""el""']",['  tag: DET']
263,['  head_token_index: 5'],"['lemma: ""vía""']",['  tag: NOUN']
264,['  head_token_index: 7'],"['lemma: ""Valledupar""']",['  tag: NOUN']
265,['  head_token_index: 8'],"['lemma: ""–""']",['  tag: PUNCT']
266,['  head_token_index: 8'],"['lemma: ""Valencia""']",['  tag: NOUN']
267,[],"['lemma: ""...""']",['  tag: PUNCT']
268,['  head_token_index: 1'],"['lemma: ""Maduro""']",['  tag: NOUN']
269,['  head_token_index: 1'],"['lemma: ""abogar""']",['  tag: VERB']
270,['  head_token_index: 1'],"['lemma: ""por""']",['  tag: ADP']
271,['  head_token_index: 4'],"['lemma: ""\\""""']",['  tag: PUNCT']
272,['  head_token_index: 2'],"['lemma: ""ayuda""']",['  tag: NOUN']
273,['  head_token_index: 4'],"['lemma: ""divino""']",['  tag: ADJ']
274,['  head_token_index: 4'],"['lemma: ""\\""""']",['  tag: PUNCT']
275,['  head_token_index: 8'],"['lemma: "",""']",['  tag: PUNCT']
276,['  head_token_index: 1'],"['lemma: ""para""']",['  tag: ADP']
277,['  head_token_index: 8'],"['lemma: ""solucionar""']",['  tag: VERB']
278,['  head_token_index: 9'],"['lemma: ""crisis""']",['  tag: NOUN']
279,['  head_token_index: 9'],"['lemma: ""en""']",['  tag: ADP']
280,['  head_token_index: 11'],"['lemma: ""el""']",['  tag: DET']
281,['  head_token_index: 1'],"['lemma: ""...""']",['  tag: PUNCT']
282,['  head_token_index: 1'],"['lemma: ""EE.""']",['  tag: NOUN']
283,['  head_token_index: 2'],"['lemma: ""UU.""']",['  tag: NOUN']
284,['  head_token_index: 2'],"['lemma: ""acusar""']",['  tag: VERB']
285,['  head_token_index: 2'],"['lemma: ""a""']",['  tag: ADP']
286,['  head_token_index: 3'],"['lemma: ""Venezuela""']",['  tag: NOUN']
287,['  head_token_index: 2'],"['lemma: ""de""']",['  tag: ADP']
288,['  head_token_index: 5'],"['lemma: ""incrementar""']",['  tag: VERB']
289,['  head_token_index: 8'],"['lemma: ""el""']",['  tag: DET']
290,['  head_token_index: 6'],"['lemma: ""represión""']",['  tag: NOUN']
291,['  head_token_index: 6'],"['lemma: ""después""']",['  tag: ADV']
292,['  head_token_index: 9'],"['lemma: ""de""']",['  tag: ADP']
293,['  head_token_index: 2'],"['lemma: ""...""']",['  tag: PUNCT']
294,['  head_token_index: 2'],"['lemma: ""Autoridad""']",['  tag: NOUN']
295,[],"['lemma: ""venezolano""']",['  tag: ADJ']
296,['  head_token_index: 2'],"['lemma: ""anunciar""']",['  tag: VERB']
297,['  head_token_index: 2'],"['lemma: ""investigación""']",['  tag: NOUN']
298,['  head_token_index: 2'],"['lemma: ""a""']",['  tag: ADP']
299,['  head_token_index: 4'],"['lemma: ""Guaidó""']",['  tag: NOUN']
300,['  head_token_index: 2'],"['lemma: ""por""']",['  tag: ADP']
301,['  head_token_index: 2'],"['lemma: ""...""']",['  tag: PUNCT']
302,['  head_token_index: 1'],"['lemma: ""\\\'""']",['  tag: PUNCT']
303,['  head_token_index: 1'],"['lemma: ""Mantenga""']",['  tag: NOUN']
304,['  head_token_index: 3'],"['lemma: ""él""']",['  tag: PRON']
305,['  head_token_index: 1'],"['lemma: ""venezolano""']",['  tag: NOUN']
306,['  head_token_index: 1'],"['lemma: ""\\\'""']",['  tag: PUNCT']
307,['  head_token_index: 7'],"['lemma: "",""']",['  tag: PUNCT']
308,['  head_token_index: 7'],"['lemma: ""el""']",['  tag: DET']
309,['  head_token_index: 1'],"['lemma: ""canción""']",['  tag: NOUN']
310,['  head_token_index: 9'],"['lemma: ""que""']",['  tag: PRON']
311,['  head_token_index: 7'],"['lemma: ""generar""']",['  tag: VERB']
312,['  head_token_index: 9'],"['lemma: ""polémico""']",['  tag: NOUN']
313,['  head_token_index: 10'],"['lemma: ""en""']",['  tag: ADP']
314,['  head_token_index: 13'],"['lemma: ""el""']",['  tag: DET']
